CO_IES,NM_IES,CATEG_ADM,CO_UF,NM_UF,NM_REGIAO
983,FPM,Privada com fins lucrativos,35,SP,Sudeste
985,FACER,Privada com fins lucrativos,52,GO,Centro-Oeste
989,ESMA,Privada sem fins lucrativos,31,MG,Sudeste
991,SENAI-CETIQT,Privada sem fins lucrativos,33,RJ,Sudeste
994,FDC,Privada sem fins lucrativos,33,RJ,Sudeste
1012,FAFOPAI,Pública Municipal,26,PE,Nordeste
1013,FASUP,Privada sem fins lucrativos,35,SP,Sudeste
1014,BOM JESUS/IELUSC,Privada sem fins lucrativos,42,SC,Sul
1019,FACTU,Privada sem fins lucrativos,31,MG,Sudeste
1021,FACET,Privada sem fins lucrativos,26,PE,Nordeste
1027,UENF,Pública Estadual,33,RJ,Sudeste
1028,UEMS,Pública Estadual,50,MS,Centro-Oeste
1030,FACULDADES IBMEC,Privada com fins lucrativos,33,RJ,Sudeste
1032,UNISAL,Privada sem fins lucrativos,35,SP,Sudeste
1034,UNESF,Privada sem fins lucrativos,26,PE,Nordeste
1036,UEMG,Pública Estadual,31,MG,Sudeste
1038,AEMS,Privada sem fins lucrativos,50,MS,Centro-Oeste
1041,UNIVATES,Privada sem fins lucrativos,43,RS,Sul
1042,UP,Privada com fins lucrativos,41,PR,Sul
1043,UNIARARAS,Privada sem fins lucrativos,35,SP,Sudeste
1045,UNIFIAN,Privada com fins lucrativos,35,SP,Sudeste
1046,UNILAGO,Privada sem fins lucrativos,35,SP,Sudeste
1048,FCE,Privada com fins lucrativos,35,SP,Sudeste
1049,CESF,Privada sem fins lucrativos,13,AM,Norte
1051,SEUNE,Privada com fins lucrativos,27,AL,Nordeste
1053,FTC,Privada com fins lucrativos,29,BA,Nordeste
1055,FMN SALVADOR,Privada com fins lucrativos,29,BA,Nordeste
1059,FLF,Privada sem fins lucrativos,23,CE,Nordeste
1060,IESB,Privada com fins lucrativos,53,DF,Centro-Oeste
1063,DOCTUM,Privada sem fins lucrativos,32,ES,Sudeste
1064,DOCTUM,Privada sem fins lucrativos,32,ES,Sudeste
1066,IEPO,Privada sem fins lucrativos,17,TO,Norte
1067,FAJ,Privada com fins lucrativos,52,GO,Centro-Oeste
1068,FAMA,Privada sem fins lucrativos,31,MG,Sudeste
1071,IESF,Privada sem fins lucrativos,50,MS,Centro-Oeste
1072,FAFI,Privada com fins lucrativos,51,MT,Centro-Oeste
1075,IESP,Privada com fins lucrativos,25,PB,Nordeste
1078,CEI,Privada com fins lucrativos,41,PR,Sul
1079,CESPAR,Privada sem fins lucrativos,41,PR,Sul
1080,FASE,Privada sem fins lucrativos,33,RJ,Sudeste
1081,FER,Privada sem fins lucrativos,33,RJ,Sudeste
1084,FACEBG,Privada sem fins lucrativos,43,RS,Sul
1085,FAMES,Privada sem fins lucrativos,43,RS,Sul
1086,FAEC,Privada sem fins lucrativos,11,RO,Norte
1090,FSLF,Privada com fins lucrativos,28,SE,Nordeste
1092,FIB,Privada com fins lucrativos,35,SP,Sudeste
1096,FAPE,Privada sem fins lucrativos,35,SP,Sudeste
1097,FISP,Privada com fins lucrativos,35,SP,Sudeste
1099,FECG-SP,Privada sem fins lucrativos,35,SP,Sudeste
1100,FCDA,Privada sem fins lucrativos,35,SP,Sudeste
1113,UNIEURO,Privada sem fins lucrativos,53,DF,Centro-Oeste
1115,CEST,Privada sem fins lucrativos,21,MA,Nordeste
1118,FAIMI,Privada com fins lucrativos,35,SP,Sudeste
1123,IESUS,Privada com fins lucrativos,29,BA,Nordeste
1124,IESUB,Privada com fins lucrativos,29,BA,Nordeste
1125,FIES,Privada sem fins lucrativos,41,PR,Sul
1126,UNICENTRO,Pública Estadual,41,PR,Sul
1128,UI,Privada sem fins lucrativos,31,MG,Sudeste
1129,UNORP,Privada sem fins lucrativos,35,SP,Sudeste
1130,METODISTA,Privada sem fins lucrativos,35,SP,Sudeste
1131,FSA,Privada com fins lucrativos,22,PI,Nordeste
1136,FACIG,Privada sem fins lucrativos,26,PE,Nordeste
1139,FEAD - MG,Privada com fins lucrativos,31,MG,Sudeste
1141,FGS,Privada sem fins lucrativos,33,RJ,Sudeste
1142,FDV,Privada com fins lucrativos,32,ES,Sudeste
1143,FACET,Privada sem fins lucrativos,26,PE,Nordeste
1144,IMENSU,Privada sem fins lucrativos,35,SP,Sudeste
1149,CEUNSP,Privada com fins lucrativos,35,SP,Sudeste
1150,SP SENAI,Privada sem fins lucrativos,35,SP,Sudeste
1151,FANESE,Privada com fins lucrativos,28,SE,Nordeste
1153,UCAM,Privada sem fins lucrativos,33,RJ,Sudeste
1155,FSST,Privada sem fins lucrativos,50,MS,Centro-Oeste
1156,FACNEC,Privada sem fins lucrativos,33,RJ,Sudeste
1157,ESFA,Privada sem fins lucrativos,32,ES,Sudeste
1159,CESV,Privada com fins lucrativos,32,ES,Sudeste
1160,CAMBURY,Privada com fins lucrativos,52,GO,Centro-Oeste
1161,INSPER,Privada sem fins lucrativos,35,SP,Sudeste
1162,FAF,Privada sem fins lucrativos,51,MT,Centro-Oeste
1170,FAMEC,Privada sem fins lucrativos,29,BA,Nordeste
1173,FAB,Privada com fins lucrativos,53,DF,Centro-Oeste
1174,SOECS,Privada sem fins lucrativos,31,MG,Sudeste
1175,ESTÁCIO FARGS,Privada sem fins lucrativos,43,RS,Sul
1182,IESA,Privada sem fins lucrativos,35,SP,Sudeste
1185,UNIJORGE,Privada com fins lucrativos,29,BA,Nordeste
1187,MÓDULO,Privada com fins lucrativos,35,SP,Sudeste
1189,UNIPLAC,Privada sem fins lucrativos,42,SC,Sul
1190,F.I.C.,Privada sem fins lucrativos,35,SP,Sudeste
1191,IESF,Privada sem fins lucrativos,23,CE,Nordeste
1192,FACIS,Privada com fins lucrativos,35,SP,Sudeste
1194,FATEP,Privada com fins lucrativos,50,MS,Centro-Oeste
1195,SENAI,Privada sem fins lucrativos,35,SP,Sudeste
1196,UNICESUMAR,Privada com fins lucrativos,41,PR,Sul
1198,FACET,Privada com fins lucrativos,41,PR,Sul
1201,FAMC,Privada sem fins lucrativos,31,MG,Sudeste
1202,FASAR,Privada com fins lucrativos,31,MG,Sudeste
1204,FIAMA,Privada sem fins lucrativos,50,MS,Centro-Oeste
1205,FAEL,Privada com fins lucrativos,41,PR,Sul
1212,FCCA,Privada sem fins lucrativos,35,SP,Sudeste
1213,SEF,Privada sem fins lucrativos,35,SP,Sudeste
1219,IIES,Privada sem fins lucrativos,35,SP,Sudeste
1224,UNIJALES,Privada sem fins lucrativos,35,SP,Sudeste
1226,IESACRE,Privada com fins lucrativos,12,AC,Norte
1227,FASB,Privada sem fins lucrativos,29,BA,Nordeste
1230,UNIPINHAL,Privada sem fins lucrativos,35,SP,Sudeste
1231,CNEC/IESA,Privada sem fins lucrativos,43,RS,Sul
1232,UNIANDRADE,Privada sem fins lucrativos,41,PR,Sul
1233,UNIRONDON,Privada sem fins lucrativos,51,MT,Centro-Oeste
1237,FANAP,Privada sem fins lucrativos,52,GO,Centro-Oeste
1239,PADRAO,Privada com fins lucrativos,52,GO,Centro-Oeste
1240,PIO XII,Privada sem fins lucrativos,32,ES,Sudeste
1243,DOCTUM,Privada sem fins lucrativos,32,ES,Sudeste
1244,MULTIVIX VITÓRIA,Privada com fins lucrativos,32,ES,Sudeste
1245,Multivix Castelo,Privada com fins lucrativos,32,ES,Sudeste
1246,FCMV,Privada sem fins lucrativos,32,ES,Sudeste
1247,FACINAN,Privada sem fins lucrativos,50,MS,Centro-Oeste
1248,ANAEC,Privada sem fins lucrativos,50,MS,Centro-Oeste
1249,FECRA,Privada com fins lucrativos,50,MS,Centro-Oeste
1252,PROMOVE,Privada sem fins lucrativos,31,MG,Sudeste
1253,FMG,Privada sem fins lucrativos,31,MG,Sudeste
1254,FAI,Privada sem fins lucrativos,31,MG,Sudeste
1255,FBV,Privada com fins lucrativos,26,PE,Nordeste
1256,DOM BOSCO,Privada com fins lucrativos,41,PR,Sul
1263,FABA,Privada com fins lucrativos,33,RJ,Sudeste
1264,UNI-RN,Privada sem fins lucrativos,24,RN,Nordeste
1266,FIU,Privada sem fins lucrativos,35,SP,Sudeste
1267,IESGF,Privada sem fins lucrativos,42,SC,Sul
1270,ESTÁCIO RIBEIRĂO PRE,Privada com fins lucrativos,35,SP,Sudeste
1272,FASAS,Privada sem fins lucrativos,35,SP,Sudeste
1273,FACCAMP,Privada com fins lucrativos,35,SP,Sudeste
1275,FAGU,Privada sem fins lucrativos,35,SP,Sudeste
1276,I.T.E.S.,Privada sem fins lucrativos,35,SP,Sudeste
1279,FACITA,Privada com fins lucrativos,35,SP,Sudeste
1281,FAIT,Privada com fins lucrativos,35,SP,Sudeste
1286,SENAI,Privada sem fins lucrativos,35,SP,Sudeste
1289,FAD-FAAP,Privada sem fins lucrativos,35,SP,Sudeste
1290,FAATESP,Privada com fins lucrativos,35,SP,Sudeste
1291,FANORPI,Privada com fins lucrativos,41,PR,Sul
1294,FAM,Privada com fins lucrativos,35,SP,Sudeste
1296,ESM,Privada sem fins lucrativos,26,PE,Nordeste
1299,FIFE,Privada sem fins lucrativos,35,SP,Sudeste
1300,ITES,Privada sem fins lucrativos,35,SP,Sudeste
1301,IMMES,Privada sem fins lucrativos,35,SP,Sudeste
1302,FBB,Privada sem fins lucrativos,29,BA,Nordeste
1304,FIRP,Privada sem fins lucrativos,35,SP,Sudeste
1307,FAEF,Privada com fins lucrativos,35,SP,Sudeste
1308,FNM,Privada com fins lucrativos,32,ES,Sudeste
1309,FAPRO,Privada sem fins lucrativos,53,DF,Centro-Oeste
1310,FAM,Privada sem fins lucrativos,35,SP,Sudeste
1311,TREVISAN,Privada com fins lucrativos,35,SP,Sudeste
1312,FAIR,Privada com fins lucrativos,51,MT,Centro-Oeste
1313,UNISUZ,Privada sem fins lucrativos,35,SP,Sudeste
1314,IJAA,Privada com fins lucrativos,31,MG,Sudeste
1315,FASE,Privada sem fins lucrativos,32,ES,Sudeste
1317,FSP,Privada com fins lucrativos,35,SP,Sudeste
1318,FMN,Privada com fins lucrativos,29,BA,Nordeste
1319,FATEC,Privada com fins lucrativos,31,MG,Sudeste
1322,EDUVALE,Privada sem fins lucrativos,35,SP,Sudeste
1324,FILC,Privada sem fins lucrativos,33,RJ,Sudeste
1325,FAP,Privada sem fins lucrativos,41,PR,Sul
1327,ESPM - POA,Privada sem fins lucrativos,43,RS,Sul
1328,FACOTTUR,Privada sem fins lucrativos,26,PE,Nordeste
1330,COTEMIG,Privada com fins lucrativos,31,MG,Sudeste
1333,CECAP,Privada sem fins lucrativos,53,DF,Centro-Oeste
1334,FACISA,Privada com fins lucrativos,25,PB,Nordeste
1336,FAG,Privada sem fins lucrativos,41,PR,Sul
1337,FMD,Privada com fins lucrativos,41,PR,Sul
1342,DOCTUM,Privada sem fins lucrativos,32,ES,Sudeste
1344,FBM,Privada com fins lucrativos,42,SC,Sul
1345,FIZO,Privada com fins lucrativos,35,SP,Sudeste
1346,FBMG,Privada sem fins lucrativos,31,MG,Sudeste
1350,FVJ,Privada com fins lucrativos,23,CE,Nordeste
1353,IESG,Privada com fins lucrativos,35,SP,Sudeste
1355,FIJ,Privada sem fins lucrativos,35,SP,Sudeste
1357,ISERJ,Pública Estadual,33,RJ,Sudeste
1360,FSG,Privada com fins lucrativos,22,PI,Nordeste
1362,FAGOC,Privada com fins lucrativos,31,MG,Sudeste
1363,FAVIC,Privada sem fins lucrativos,29,BA,Nordeste
1364,FTC,Privada com fins lucrativos,29,BA,Nordeste
1365,UNASP,Privada sem fins lucrativos,35,SP,Sudeste
1366,FB-SI,Privada sem fins lucrativos,42,SC,Sul
1371,FAM,Privada sem fins lucrativos,35,SP,Sudeste
1373,FACAB,Privada com fins lucrativos,35,SP,Sudeste
1374,FCSGN,Privada sem fins lucrativos,51,MT,Centro-Oeste
1375,FCARP,Privada sem fins lucrativos,51,MT,Centro-Oeste
1379,FAESA,Privada sem fins lucrativos,32,ES,Sudeste
1381,FMF,Privada com fins lucrativos,13,AM,Norte
1382,EST,Privada sem fins lucrativos,43,RS,Sul
1384,FSH,Privada sem fins lucrativos,26,PE,Nordeste
1385,FIPEP,Privada sem fins lucrativos,35,SP,Sudeste
1386,ESAMC,Privada com fins lucrativos,35,SP,Sudeste
1387,FAPEN,Privada com fins lucrativos,35,SP,Sudeste
1388,ISES,Privada com fins lucrativos,35,SP,Sudeste
1394,FCA,Privada com fins lucrativos,29,BA,Nordeste
1395,UNICALDAS,Privada com fins lucrativos,52,GO,Centro-Oeste
1396,UDC,Privada com fins lucrativos,41,PR,Sul
1400,FAIND/SJP,Privada com fins lucrativos,41,PR,Sul
1402,ICSH,Privada sem fins lucrativos,52,GO,Centro-Oeste
1403,FAP,Privada com fins lucrativos,11,RO,Norte
1404,FAP,Privada com fins lucrativos,52,GO,Centro-Oeste
1409,UCL,Privada sem fins lucrativos,32,ES,Sudeste
1410,ÁREA1,Privada com fins lucrativos,29,BA,Nordeste
1411,F2J,Privada sem fins lucrativos,29,BA,Nordeste
1413,CESPRI,Privada sem fins lucrativos,35,SP,Sudeste
1414,FSL,Privada com fins lucrativos,11,RO,Norte
1418,UNITOLEDO,Privada com fins lucrativos,35,SP,Sudeste
1419,UNICURITIBA,Privada com fins lucrativos,41,PR,Sul
1422,UNINORTE,Privada com fins lucrativos,13,AM,Norte
1423,FACI,Privada com fins lucrativos,15,PA,Norte
1425,FACE,Privada com fins lucrativos,23,CE,Nordeste
1426,ILES,Privada sem fins lucrativos,52,GO,Centro-Oeste
1427,FSG,Privada com fins lucrativos,43,RS,Sul
1428,IESPLAN,Privada com fins lucrativos,53,DF,Centro-Oeste
1429,FABAT,Privada sem fins lucrativos,33,RJ,Sudeste
1432,FABE,Privada sem fins lucrativos,35,SP,Sudeste
1433,FACOL,Privada sem fins lucrativos,35,SP,Sudeste
1434,IESI,Privada sem fins lucrativos,35,SP,Sudeste
1436,ESBAM,Privada com fins lucrativos,13,AM,Norte
1437,ESRC,Privada com fins lucrativos,35,SP,Sudeste
1438,FACAMP,Privada com fins lucrativos,35,SP,Sudeste
1439,FACAMP,Privada com fins lucrativos,35,SP,Sudeste
1440,IAESUP,Privada com fins lucrativos,52,GO,Centro-Oeste
1441,FATEPI,Privada com fins lucrativos,22,PI,Nordeste
1443,FINAC,Privada com fins lucrativos,32,ES,Sudeste
1444,FIEL,Privada sem fins lucrativos,35,SP,Sudeste
1445,CEUN-IMT,Privada sem fins lucrativos,35,SP,Sudeste
1446,UNIPLAN,Privada sem fins lucrativos,53,DF,Centro-Oeste
1450,UNICERP,Privada sem fins lucrativos,31,MG,Sudeste
1453,FACNORTE,Privada com fins lucrativos,41,PR,Sul
1454,FASNE,Privada sem fins lucrativos,26,PE,Nordeste
1455,FSSS,Privada sem fins lucrativos,29,BA,Nordeste
1456,FASERT,Privada com fins lucrativos,35,SP,Sudeste
1459,FUCAMP,Privada sem fins lucrativos,31,MG,Sudeste
1461,FTC SALVADOR,Privada com fins lucrativos,29,BA,Nordeste
1462,INPER,Privada sem fins lucrativos,25,PB,Nordeste
1463,FCGB,Privada sem fins lucrativos,35,SP,Sudeste
1464,HSM,Privada com fins lucrativos,35,SP,Sudeste
1465,AFARP,Privada com fins lucrativos,35,SP,Sudeste
1467,FACEVV,Privada sem fins lucrativos,32,ES,Sudeste
1468,ESAMC,Privada com fins lucrativos,31,MG,Sudeste
1472,UNIASSELVI,Privada com fins lucrativos,42,SC,Sul
1477,MICHELANGELO,Privada sem fins lucrativos,53,DF,Centro-Oeste
1478,FASBC,Privada com fins lucrativos,35,SP,Sudeste
1484,IBMEC,Privada com fins lucrativos,31,MG,Sudeste
1486,FESV,Privada com fins lucrativos,32,ES,Sudeste
1487,FDB,Privada com fins lucrativos,41,PR,Sul
1488,FAP,Privada com fins lucrativos,33,RJ,Sudeste
1490,FAJ,Privada com fins lucrativos,35,SP,Sudeste
1491,UNINTER,Privada com fins lucrativos,41,PR,Sul
1492,PIT UBERLÂNDIA,Privada com fins lucrativos,31,MG,Sudeste
1493,ALFA,Privada com fins lucrativos,52,GO,Centro-Oeste
1496,FESVV,Privada com fins lucrativos,32,ES,Sudeste
1497,FASC,Privada sem fins lucrativos,35,SP,Sudeste
1498,FAVI,Privada sem fins lucrativos,32,ES,Sudeste
1499,FATS,Privada com fins lucrativos,35,SP,Sudeste
1500,FAESI,Privada com fins lucrativos,41,PR,Sul
1501,FLATED,Privada sem fins lucrativos,23,CE,Nordeste
1503,FALEC,Privada sem fins lucrativos,41,PR,Sul
1506,IFES,Privada sem fins lucrativos,42,SC,Sul
1507,FACEB,Privada sem fins lucrativos,53,DF,Centro-Oeste
1509,ESTÁCIO BH,Privada com fins lucrativos,31,MG,Sudeste
1513,ICF,Privada com fins lucrativos,22,PI,Nordeste
1514,F.V.C.,Privada com fins lucrativos,32,ES,Sudeste
1515,UNIRON,Privada com fins lucrativos,11,RO,Norte
1516,FV,Privada sem fins lucrativos,35,SP,Sudeste
1519,FADEP,Privada com fins lucrativos,41,PR,Sul
1520,FFIA,Privada sem fins lucrativos,35,SP,Sudeste
1521,ESTÁCIO BELÉM,Privada com fins lucrativos,15,PA,Norte
1523,CESUL,Privada com fins lucrativos,41,PR,Sul
1524,FAMETTIG,Privada com fins lucrativos,29,BA,Nordeste
1526,SENAI,Privada sem fins lucrativos,35,SP,Sudeste
1530,FCJ,Privada sem fins lucrativos,42,SC,Sul
1535,FAPI,Privada sem fins lucrativos,41,PR,Sul
1536,FATEB,Privada com fins lucrativos,41,PR,Sul
1538,FAPRO,Privada com fins lucrativos,53,DF,Centro-Oeste
1539,FIB,Pública Municipal,32,ES,Sudeste
1540,IESUR,Privada sem fins lucrativos,11,RO,Norte
1542,UGB,Privada sem fins lucrativos,33,RJ,Sudeste
1544,FADEC,Privada com fins lucrativos,42,SC,Sul
1545,FIB,Privada sem fins lucrativos,35,SP,Sudeste
1546,FAESF,Privada sem fins lucrativos,21,MA,Nordeste
1550,FEPI,Privada sem fins lucrativos,41,PR,Sul
1552,FAP,Privada com fins lucrativos,22,PI,Nordeste
1556,FA7,Privada com fins lucrativos,23,CE,Nordeste
1557,FUMEC,Privada sem fins lucrativos,31,MG,Sudeste
1558,DOCTUM,Privada sem fins lucrativos,31,MG,Sudeste
1559,UNESC,Privada sem fins lucrativos,32,ES,Sudeste
1561,ESAMC,Privada com fins lucrativos,35,SP,Sudeste
1564,FASF,Privada com fins lucrativos,33,RJ,Sudeste
1565,FCJ,Privada com fins lucrativos,29,BA,Nordeste
1568,FIC,Privada sem fins lucrativos,31,MG,Sudeste
1569,FIAR,Privada sem fins lucrativos,35,SP,Sudeste
1571,FCS,Privada com fins lucrativos,29,BA,Nordeste
1572,FACISA,Privada com fins lucrativos,29,BA,Nordeste
1573,FAN,Privada sem fins lucrativos,52,GO,Centro-Oeste
1574,FACEMED,Privada com fins lucrativos,41,PR,Sul
1575,UNIARAXÁ,Privada sem fins lucrativos,31,MG,Sudeste
1576,FASERRA,Privada sem fins lucrativos,32,ES,Sudeste
1577,FACINOR,Privada sem fins lucrativos,41,PR,Sul
1580,FACESA,Privada com fins lucrativos,52,GO,Centro-Oeste
1581,FACSAL,Privada sem fins lucrativos,31,MG,Sudeste
1582,FJN JANGA,Privada com fins lucrativos,26,PE,Nordeste
1583,FATEC-ID,Pública Estadual,35,SP,Sudeste
1584,FATEC GT,Pública Estadual,35,SP,Sudeste
1585,FEAN,Privada com fins lucrativos,42,SC,Sul
1586,UNIVÁS,Privada sem fins lucrativos,31,MG,Sudeste
1587,FITS,Privada com fins lucrativos,51,MT,Centro-Oeste
1590,ESTÁCIO SĂO LUÍS,Privada com fins lucrativos,21,MA,Nordeste
1591,ESTÁCIO MACAPÁ,Privada sem fins lucrativos,16,AP,Norte
1592,FOM,Privada sem fins lucrativos,13,AM,Norte
1596,UNIVES,Privada com fins lucrativos,32,ES,Sudeste
1597,CESSF,Privada com fins lucrativos,21,MA,Nordeste
1598,FPU,Privada com fins lucrativos,31,MG,Sudeste
1599,IPTAN,Privada com fins lucrativos,31,MG,Sudeste
1600,ICS,Privada sem fins lucrativos,31,MG,Sudeste
1601,FCC,Privada sem fins lucrativos,31,MG,Sudeste
1605,FANOVA,Privada sem fins lucrativos,50,MS,Centro-Oeste
1606,FIC,Privada com fins lucrativos,50,MS,Centro-Oeste
1607,FALSM,Privada sem fins lucrativos,43,RS,Sul
1609,FCP,Privada com fins lucrativos,22,PI,Nordeste
1610,FAETE,Privada sem fins lucrativos,22,PI,Nordeste
1611,FATI,Privada com fins lucrativos,41,PR,Sul
1612,FASUL,Privada com fins lucrativos,41,PR,Sul
1613,IAP,Privada sem fins lucrativos,41,PR,Sul
1614,FAAST,Privada sem fins lucrativos,41,PR,Sul
1615,ISULPAR,Privada sem fins lucrativos,41,PR,Sul
1616,FAV,Privada sem fins lucrativos,33,RJ,Sudeste
1618,IBES,Privada com fins lucrativos,42,SC,Sul
1619,FAER,Privada com fins lucrativos,35,SP,Sudeste
1620,FASAR,Privada com fins lucrativos,35,SP,Sudeste
1621,NWK,Privada com fins lucrativos,35,SP,Sudeste
1622,FIP,Privada sem fins lucrativos,35,SP,Sudeste
1623,FCAA,Privada sem fins lucrativos,35,SP,Sudeste
1624,FMR,Privada sem fins lucrativos,35,SP,Sudeste
1636,CASTELLI ESH,Privada com fins lucrativos,43,RS,Sul
1637,FAMA,Privada com fins lucrativos,27,AL,Nordeste
1638,IAES,Privada com fins lucrativos,13,AM,Norte
1639,FHR,Privada com fins lucrativos,29,BA,Nordeste
1640,FACULDADE AGES,Privada com fins lucrativos,29,BA,Nordeste
1641,FSBA,Privada sem fins lucrativos,29,BA,Nordeste
1642,FTC,Privada com fins lucrativos,29,BA,Nordeste
1643,FAT,Privada com fins lucrativos,29,BA,Nordeste
1644,FEC,Privada com fins lucrativos,29,BA,Nordeste
1645,FTC,Privada com fins lucrativos,29,BA,Nordeste
1646,FECIPAR,Privada sem fins lucrativos,17,TO,Norte
1647,FAECE,Privada sem fins lucrativos,23,CE,Nordeste
1653,FACEC,Privada sem fins lucrativos,32,ES,Sudeste
1655,FCSL,Privada sem fins lucrativos,31,MG,Sudeste
1656,IEST,Privada sem fins lucrativos,22,PI,Nordeste
1657,FAED,Privada com fins lucrativos,41,PR,Sul
1658,FGF,Privada com fins lucrativos,23,CE,Nordeste
1659,FAESO,Privada com fins lucrativos,35,SP,Sudeste
1660,ESTÁCIO BRASÍLIA,Privada com fins lucrativos,53,DF,Centro-Oeste
1661,FAPRO,Privada sem fins lucrativos,53,DF,Centro-Oeste
1662,DOCTUM,Privada sem fins lucrativos,32,ES,Sudeste
1663,FARA,Privada com fins lucrativos,52,GO,Centro-Oeste
1664,FASEH,Privada com fins lucrativos,31,MG,Sudeste
1665,FK,Privada com fins lucrativos,31,MG,Sudeste
1666,NOVOS HORIZONTES,Privada com fins lucrativos,31,MG,Sudeste
1669,IMES,Privada com fins lucrativos,31,MG,Sudeste
1670,IECEMB - FAB,Privada com fins lucrativos,31,MG,Sudeste
1672,IESPES,Privada sem fins lucrativos,15,PA,Norte
1675,UNESJ,Privada sem fins lucrativos,26,PE,Nordeste
1676,FACULDADE SĂO MIGUEL,Privada com fins lucrativos,26,PE,Nordeste
1677,FAESPI,Privada com fins lucrativos,22,PI,Nordeste
1678,FACIBRA,Privada com fins lucrativos,41,PR,Sul
1679,FACSUL,Privada com fins lucrativos,41,PR,Sul
1680,MATER CHRISTI,Privada com fins lucrativos,24,RN,Nordeste
1681,FACULDADES IBMEC,Privada com fins lucrativos,33,RJ,Sudeste
1682,FSMA,Privada sem fins lucrativos,33,RJ,Sudeste
1683,FAP,Privada com fins lucrativos,22,PI,Nordeste
1685,FB-CC,Privada com fins lucrativos,42,SC,Sul
1686,FB-AA,Privada com fins lucrativos,42,SC,Sul
1689,FIESI,Privada com fins lucrativos,35,SP,Sudeste
1690,FSV,Privada com fins lucrativos,35,SP,Sudeste
1692,ESPF,Privada com fins lucrativos,35,SP,Sudeste
1693,FAITA,Privada com fins lucrativos,35,SP,Sudeste
1694,ESUCRI,Privada com fins lucrativos,42,SC,Sul
1695,FACEB,Privada sem fins lucrativos,31,MG,Sudeste
1696,FACEC,Privada com fins lucrativos,52,GO,Centro-Oeste
1699,UNICENTRO,Privada sem fins lucrativos,11,RO,Norte
1700,FSLMG,Privada sem fins lucrativos,31,MG,Sudeste
1701,FAMA,Privada sem fins lucrativos,33,RJ,Sudeste
1702,ESTÁCIO AMAZÔNIA,Privada com fins lucrativos,14,RR,Norte
1703,IESRIVER,Privada sem fins lucrativos,52,GO,Centro-Oeste
1706,FACIR,Privada sem fins lucrativos,26,PE,Nordeste
1707,FACCOR,Privada sem fins lucrativos,26,PE,Nordeste
1708,IPESU,Privada sem fins lucrativos,26,PE,Nordeste
1709,FACIPE,Privada com fins lucrativos,26,PE,Nordeste
1710,FACNET,Privada com fins lucrativos,53,DF,Centro-Oeste
1711,FAPEPE,Privada sem fins lucrativos,35,SP,Sudeste
1712,FACET,Privada com fins lucrativos,22,PI,Nordeste
1713,FATEF,Privada com fins lucrativos,35,SP,Sudeste
1714,ESIC,Privada sem fins lucrativos,41,PR,Sul
1717,FACIMP,Privada com fins lucrativos,21,MA,Nordeste
1718,FAN,Privada com fins lucrativos,29,BA,Nordeste
1720,FAMIG,Privada com fins lucrativos,31,MG,Sudeste
1721,FDV,Privada com fins lucrativos,31,MG,Sudeste
1722,FIP,Privada com fins lucrativos,11,RO,Norte
1724,FAG,Privada sem fins lucrativos,35,SP,Sudeste
1725,FAQ,Privada com fins lucrativos,35,SP,Sudeste
1726,SECAL,Privada com fins lucrativos,41,PR,Sul
1727,FAC DE CARIACICA,Privada com fins lucrativos,32,ES,Sudeste
1728,UNIRON,Privada com fins lucrativos,11,RO,Norte
1732,FGP,Privada com fins lucrativos,35,SP,Sudeste
1733,ISEPE  RONDON,Privada com fins lucrativos,41,PR,Sul
1734,FACID,Privada com fins lucrativos,22,PI,Nordeste
1735,FLS,Privada com fins lucrativos,23,CE,Nordeste
1736,UNILASALLE/RJ,Privada sem fins lucrativos,33,RJ,Sudeste
1738,ULBRA ILES,Privada sem fins lucrativos,11,RO,Norte
1739,IMP,Privada sem fins lucrativos,53,DF,Centro-Oeste
1742,CSET DRUMMOND,Privada com fins lucrativos,35,SP,Sudeste
1743,FATEC OSWALDO CRUZ,Privada com fins lucrativos,35,SP,Sudeste
1745,FAATESP,Privada com fins lucrativos,35,SP,Sudeste
1749,FALUB,Privada sem fins lucrativos,26,PE,Nordeste
1752,FADISP,Privada com fins lucrativos,35,SP,Sudeste
1753,FACENE,Privada com fins lucrativos,25,PB,Nordeste
1756,FAB,Privada sem fins lucrativos,35,SP,Sudeste
1758,FAINOR,Privada com fins lucrativos,29,BA,Nordeste
1759,FACULDADE BAGOZZI,Privada sem fins lucrativos,41,PR,Sul
1762,FTNCDA,Privada com fins lucrativos,35,SP,Sudeste
1763,SENAI,Privada sem fins lucrativos,42,SC,Sul
1765,FJB,Privada sem fins lucrativos,35,SP,Sudeste
1766,UNICAPE,Privada sem fins lucrativos,32,ES,Sudeste
1772,FANOR,Privada com fins lucrativos,23,CE,Nordeste
1773,SEI/FAI,Privada com fins lucrativos,42,SC,Sul
1774,UNIĂO,Privada com fins lucrativos,41,PR,Sul
1775,UNIFAVIP,Privada com fins lucrativos,26,PE,Nordeste
1776,FATJ,Privada com fins lucrativos,35,SP,Sudeste
1777,FAMEG,Privada com fins lucrativos,42,SC,Sul
1779,AIEC / FAAB,Privada com fins lucrativos,53,DF,Centro-Oeste
1780,FAHOR,Privada sem fins lucrativos,43,RS,Sul
1781,INTESP,Privada sem fins lucrativos,35,SP,Sudeste
1783,FACISA - CELER,Privada com fins lucrativos,42,SC,Sul
