CO_IES,NM_IES,CATEG_ADM,CO_UF,NM_UF,NM_REGIAO
219,FAECA DOM BOSCO,Privada sem fins lucrativos,35,SP,Sudeste
220,FSJT,Privada sem fins lucrativos,33,RJ,Sudeste
221,UNICSUL,Privada com fins lucrativos,35,SP,Sudeste
222,UNIFEV,Privada sem fins lucrativos,35,SP,Sudeste
224,FMABC,Privada sem fins lucrativos,35,SP,Sudeste
225,IESA,Privada com fins lucrativos,35,SP,Sudeste
226,UNILUS,Privada sem fins lucrativos,35,SP,Sudeste
227,UNISANTOS,Privada sem fins lucrativos,35,SP,Sudeste
231,FASB I,Privada sem fins lucrativos,35,SP,Sudeste
234,FOC,Privada com fins lucrativos,35,SP,Sudeste
240,USU,Privada sem fins lucrativos,33,RJ,Sudeste
243,FCNM,Privada sem fins lucrativos,35,SP,Sudeste
244,UNIFIEO,Privada sem fins lucrativos,35,SP,Sudeste
254,UNICAPITAL,Privada com fins lucrativos,35,SP,Sudeste
255,FEAP,Privada sem fins lucrativos,35,SP,Sudeste
263,FICS,Privada sem fins lucrativos,35,SP,Sudeste
265,FIO,Privada sem fins lucrativos,35,SP,Sudeste
266,UNIMEP,Privada sem fins lucrativos,35,SP,Sudeste
268,FADAP,Privada com fins lucrativos,35,SP,Sudeste
269,FACCAT,Privada com fins lucrativos,35,SP,Sudeste
271,UNOESTE,Privada sem fins lucrativos,35,SP,Sudeste
275,UNIVAP,Privada sem fins lucrativos,35,SP,Sudeste
276,FADI,Privada sem fins lucrativos,35,SP,Sudeste
277,UNISUAM,Privada sem fins lucrativos,33,RJ,Sudeste
278,FIS,Privada sem fins lucrativos,33,RJ,Sudeste
279,FACHA,Privada sem fins lucrativos,33,RJ,Sudeste
284,FMIT,Privada sem fins lucrativos,31,MG,Sudeste
288,FADIVALE,Privada sem fins lucrativos,31,MG,Sudeste
294,SETREM,Privada sem fins lucrativos,43,RS,Sul
295,UNISC,Privada sem fins lucrativos,43,RS,Sul
296,URCAMP,Privada sem fins lucrativos,43,RS,Sul
299,FAFIJAN,Privada sem fins lucrativos,41,PR,Sul
307,FAME,Privada sem fins lucrativos,31,MG,Sudeste
308,UNIPAC,Privada sem fins lucrativos,31,MG,Sudeste
316,UNINOVE,Privada sem fins lucrativos,35,SP,Sudeste
321,FDT,Privada sem fins lucrativos,35,SP,Sudeste
322,UNIP,Privada sem fins lucrativos,35,SP,Sudeste
330,UNIG,Privada sem fins lucrativos,33,RJ,Sudeste
336,FMS,Privada sem fins lucrativos,31,MG,Sudeste
337,CES/JF,Privada sem fins lucrativos,31,MG,Sudeste
338,PUC MINAS,Privada sem fins lucrativos,31,MG,Sudeste
339,FASER,Privada sem fins lucrativos,25,PB,Nordeste
343,NEWTON PAIVA,Privada com fins lucrativos,31,MG,Sudeste
344,UNA,Privada com fins lucrativos,31,MG,Sudeste
345,EEK,Privada sem fins lucrativos,31,MG,Sudeste
346,ISCA,Privada sem fins lucrativos,35,SP,Sudeste
349,UNI-BH,Privada com fins lucrativos,31,MG,Sudeste
351,FCMMG,Privada sem fins lucrativos,31,MG,Sudeste
352,UNIPÊ,Privada sem fins lucrativos,25,PB,Nordeste
353,FEPAR,Privada sem fins lucrativos,41,PR,Sul
355,UTP,Privada com fins lucrativos,41,PR,Sul
360,UNIPAULISTANA,Privada sem fins lucrativos,35,SP,Sudeste
361,FAPSS-SCS,Privada sem fins lucrativos,35,SP,Sudeste
362,FAPSS-SP.,Privada sem fins lucrativos,35,SP,Sudeste
363,FAMOSP,Privada sem fins lucrativos,35,SP,Sudeste
367,UNIMONTES,Pública Estadual,31,MG,Sudeste
368,FEFISO,Privada sem fins lucrativos,35,SP,Sudeste
370,FPA,Privada sem fins lucrativos,35,SP,Sudeste
371,FMCG,Privada com fins lucrativos,35,SP,Sudeste
372,FABCI,Privada sem fins lucrativos,35,SP,Sudeste
373,ESP,Privada sem fins lucrativos,35,SP,Sudeste
374,FMU,Privada sem fins lucrativos,35,SP,Sudeste
375,UNISA,Privada sem fins lucrativos,35,SP,Sudeste
383,UNAMA,Privada com fins lucrativos,15,PA,Norte
384,UNIEVANGÉLICA,Privada sem fins lucrativos,52,GO,Centro-Oeste
385,UNIFACS,Privada com fins lucrativos,29,BA,Nordeste
386,UNI-ANHANGÜERA,Privada sem fins lucrativos,52,GO,Centro-Oeste
387,UCDB,Privada sem fins lucrativos,50,MS,Centro-Oeste
396,FRBA,Privada com fins lucrativos,29,BA,Nordeste
398,UNIT,Privada com fins lucrativos,28,SE,Nordeste
399,EEA,Privada sem fins lucrativos,29,BA,Nordeste
402,UNICEUB,Privada sem fins lucrativos,53,DF,Centro-Oeste
403,UCB,Privada sem fins lucrativos,53,DF,Centro-Oeste
404,UPIS,Privada sem fins lucrativos,53,DF,Centro-Oeste
405,FOCCA,Privada sem fins lucrativos,26,PE,Nordeste
409,UPE,Pública Estadual,26,PE,Nordeste
410,FCHE,Privada sem fins lucrativos,26,PE,Nordeste
415,FCMSCSP,Privada sem fins lucrativos,35,SP,Sudeste
416,FASP,Privada sem fins lucrativos,35,SP,Sudeste
417,UNICID,Privada com fins lucrativos,35,SP,Sudeste
420,UNIMAR,Privada com fins lucrativos,35,SP,Sudeste
423,URI,Privada sem fins lucrativos,43,RS,Sul
426,UNIFRA,Privada sem fins lucrativos,43,RS,Sul
430,UNIFIL,Privada sem fins lucrativos,41,PR,Sul
431,FAMEMA,Pública Estadual,35,SP,Sudeste
432,FACCAR,Privada sem fins lucrativos,41,PR,Sul
434,FASM,Privada sem fins lucrativos,35,SP,Sudeste
435,FASM,Privada sem fins lucrativos,31,MG,Sudeste
437,UNIPAR,Privada sem fins lucrativos,41,PR,Sul
438,FFCL,Privada sem fins lucrativos,35,SP,Sudeste
439,FAFRAM,Privada sem fins lucrativos,35,SP,Sudeste
440,FADITU,Privada com fins lucrativos,35,SP,Sudeste
446,UNICRUZ,Privada sem fins lucrativos,43,RS,Sul
448,UNIRITTER,Privada com fins lucrativos,43,RS,Sul
449,ULBRA,Privada sem fins lucrativos,43,RS,Sul
450,CEULJI/ULBRA,Privada sem fins lucrativos,11,RO,Norte
451,CEULS,Privada sem fins lucrativos,15,PA,Norte
452,CEULM/ULBRA,Privada sem fins lucrativos,13,AM,Norte
453,CEULP,Privada sem fins lucrativos,17,TO,Norte
454,FACCCA,Privada sem fins lucrativos,43,RS,Sul
456,UNISANT'ANNA,Privada sem fins lucrativos,35,SP,Sudeste
457,UNIAN - SP,Privada com fins lucrativos,35,SP,Sudeste
458,UNIB,Privada sem fins lucrativos,35,SP,Sudeste
460,FAAP,Privada sem fins lucrativos,35,SP,Sudeste
461,FAE-FAAP,Privada sem fins lucrativos,35,SP,Sudeste
462,FEFAAP,Privada sem fins lucrativos,35,SP,Sudeste
463,FACOM-FAAP,Privada sem fins lucrativos,35,SP,Sudeste
464,FEC-FAAP,Privada sem fins lucrativos,35,SP,Sudeste
466,UAM,Privada com fins lucrativos,35,SP,Sudeste
467,FCCI,Privada com fins lucrativos,35,SP,Sudeste
472,UNIGRANRIO,Privada sem fins lucrativos,33,RJ,Sudeste
474,FFCLDB,Privada sem fins lucrativos,33,RJ,Sudeste
475,FMP,Privada sem fins lucrativos,33,RJ,Sudeste
480,UNIFESO,Privada sem fins lucrativos,33,RJ,Sudeste
481,UNG,Privada sem fins lucrativos,35,SP,Sudeste
482,UNESC,Privada sem fins lucrativos,42,SC,Sul
483,UNIMESP,Privada sem fins lucrativos,35,SP,Sudeste
489,UNIFOA,Privada sem fins lucrativos,33,RJ,Sudeste
490,CESVA,Privada sem fins lucrativos,33,RJ,Sudeste
491,FECLE,Privada sem fins lucrativos,35,SP,Sudeste
492,FACEAG,Privada sem fins lucrativos,35,SP,Sudeste
493,FACEG,Privada sem fins lucrativos,35,SP,Sudeste
494,UNISUL,Privada sem fins lucrativos,42,SC,Sul
495,FESB,Pública Municipal,35,SP,Sudeste
496,UNIFRAN,Privada com fins lucrativos,35,SP,Sudeste
501,EMESCAM,Privada sem fins lucrativos,32,ES,Sudeste
502,UNIMONTE,Privada com fins lucrativos,35,SP,Sudeste
