CO_GRUPO,NM_GRUPO
6106,ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS
6107,ENGENHARIA (GRUPO V) - ENGENHARIA FÍSICA
6108,ENGENHARIA (GRUPO V) - ENGENHARIA METALÚRGICA
6109,ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS (MADEIRA)
6110,ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS (PLÁSTICO)
6208,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO
6209,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO MECÂNICA
6210,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO ELÉTRICA
6211,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO QUÍMICA
6213,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO DE MATERIAIS
6214,ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUÇÃO CIVIL
6306,ENGENHARIA (GRUPO VII) - ENGENHARIA
6307,ENGENHARIA (GRUPO VII) - ENGENHARIA AMBIENTAL
6308,ENGENHARIA (GRUPO VII) - ENGENHARIA INDUSTRIAL
6309,ENGENHARIA (GRUPO VII) - ENGENHARIA DE MINAS
6310,ENGENHARIA (GRUPO VII) - ENGENHARIA DE PETRÓLEO
6404,ENGENHARIA (GRUPO VIII) - ENGENHARIA AGRÍCOLA
6405,ENGENHARIA (GRUPO VIII) - ENGENHARIA FLORESTAL
6406,ENGENHARIA (GRUPO VIII) - ENGENHARIA DE PESCA
6407,Letras - Inglês
6409,Tecnologia em Gestão da Tecnologia da Informação
